sol,t_min_c,t_max_c,t_mean_c,dust_max,pressure_mean_pa,thermal_load_mean_kw,dust_storm_flag
0,-83.79,-27.52,-54.97625,0.176,609.4125,26.942083333333333,0
1,-84.24,-26.0,-54.94083333333333,0.201,610.35,26.930000000000003,0
2,-83.36,-25.36,-55.109583333333326,0.168,611.6541666666667,26.989166666666666,0
3,-83.51,-26.7,-55.288333333333334,0.178,611.1208333333333,27.051666666666666,0
4,-83.88,-26.04,-55.34458333333333,0.2,611.7583333333333,27.071250000000003,0
5,-84.82,-25.18,-55.24125,0.203,612.3791666666667,27.034166666666668,0
6,-84.34,-25.36,-54.67583333333334,0.189,612.475,26.83583333333333,0
7,-84.63,-25.43,-54.66583333333333,0.217,612.975,26.832916666666666,0
8,-82.66,-27.44,-55.083333333333336,0.183,613.3416666666667,26.979166666666668,0
9,-81.68,-25.07,-54.80375,0.203,612.9166666666666,26.88,0
10,-84.03,-26.46,-54.90833333333333,0.185,613.3166666666667,26.918333333333333,0
11,-83.19,-26.12,-54.85166666666667,0.2,613.2875,26.898750000000003,0
12,-84.4,-28.66,-55.31333333333333,0.202,613.9250000000001,27.059583333333336,0
13,-85.42,-26.2,-55.21333333333333,0.214,615.2958333333333,27.024583333333336,0
14,-84.53,-25.63,-55.09,0.191,614.9250000000001,26.980833333333333,0
15,-87.57,-26.97,-55.82458333333333,0.185,616.5583333333333,27.238333333333333,0
16,-83.69,-25.85,-55.27791666666667,0.193,614.4708333333333,27.0475,0
17,-82.14,-25.82,-54.981249999999996,0.205,616.1291666666667,26.942916666666665,0
18,-87.6,-26.77,-55.322916666666664,0.215,616.5708333333333,27.063333333333333,0
19,-84.99,-25.73,-55.138749999999995,0.214,617.0749999999999,26.999166666666667,0
20,-83.88,-26.85,-55.004583333333336,0.201,617.5625,26.95041666666667,0
21,-82.37,-24.54,-55.145,0.203,618.7624999999999,27.00125,0
22,-84.8,-25.57,-55.09833333333333,0.193,617.4833333333333,26.984583333333333,0
23,-86.36,-27.8,-55.29,0.198,619.0333333333333,27.052083333333332,0
24,-84.15,-25.49,-55.39291666666667,0.199,620.0458333333333,27.08791666666667,0
25,-81.88,-26.19,-54.74541666666667,0.192,619.4583333333334,26.86125,0
26,-82.72,-26.36,-55.15541666666667,0.223,619.85,27.00375,0
27,-87.06,-26.07,-54.80291666666667,0.204,619.9083333333333,26.88083333333333,0
28,-84.36,-26.9,-55.32666666666666,0.191,620.6041666666666,27.064999999999998,0
