sol,hour,mars_year_proxy,ls_deg_approx,lat,lon,temperature_c,wind_u_ms,wind_v_ms,surface_pressure_pa,dust_optical_depth,dust_storm_flag,habitat_thermal_load_kw_100p
0,0,30,0.0,18.4,77.5,-81.59,-5.18,-0.66,612.3,0.129,0,36.26
0,1,30,0.0,18.4,77.5,-81.2,-4.84,1.65,609.1,0.153,0,36.12
0,2,30,0.0,18.4,77.5,-73.48,-1.65,4.0,610.2,0.166,0,33.42
0,3,30,0.0,18.4,77.5,-70.29,0.07,4.28,607.1,0.157,0,32.3
0,4,30,0.0,18.4,77.5,-62.52,0.92,4.4,613.7,0.136,0,29.58
0,5,30,0.0,18.4,77.5,-55.53,3.61,5.43,611.1,0.161,0,27.13
0,6,30,0.0,18.4,77.5,-44.54,3.94,5.45,608.5,0.142,0,23.29
0,7,30,0.0,18.4,77.5,-39.31,5.39,4.98,607.5,0.148,0,21.46
0,8,30,0.0,18.4,77.5,-34.09,7.69,3.65,608.0,0.161,0,19.63
0,9,30,0.0,18.4,77.5,-30.42,8.75,2.57,610.7,0.167,0,18.35
0,10,30,0.0,18.4,77.5,-27.52,7.54,0.82,605.6,0.163,0,17.33
0,11,30,0.0,18.4,77.5,-27.96,6.33,0.97,614.5,0.144,0,17.49
0,12,30,0.0,18.4,77.5,-30.48,7.01,-0.58,610.5,0.143,0,18.37
0,13,30,0.0,18.4,77.5,-29.56,5.85,-2.69,608.6,0.143,0,18.05
0,14,30,0.0,18.4,77.5,-37.11,3.6,-3.39,607.2,0.127,0,20.69
0,15,30,0.0,18.4,77.5,-39.96,1.74,-4.64,610.5,0.141,0,21.69
0,16,30,0.0,18.4,77.5,-47.07,-1.56,-6.03,608.9,0.137,0,24.17
0,17,30,0.0,18.4,77.5,-54.27,-2.54,-4.55,610.0,0.141,0,26.69
0,18,30,0.0,18.4,77.5,-61.25,-5.01,-6.52,608.7,0.148,0,29.14
0,19,30,0.0,18.4,77.5,-71.17,-5.9,-5.24,607.0,0.124,0,32.61
0,20,30,0.0,18.4,77.5,-75.37,-6.53,-4.47,608.9,0.176,0,34.08
0,21,30,0.0,18.4,77.5,-79.56,-6.93,-4.23,609.0,0.131,0,35.54
0,22,30,0.0,18.4,77.5,-81.39,-9.66,-1.22,608.2,0.155,0,36.19
0,23,30,0.0,18.4,77.5,-83.79,-5.45,-0.24,610.1,0.155,0,37.03
1,0,30,0.54,18.4,77.5,-83.58,-4.68,2.13,611.0,0.154,0,36.95
1,1,30,0.54,18.4,77.5,-78.71,-5.59,1.57,606.8,0.18,0,35.25
1,2,30,0.54,18.4,77.5,-75.38,-3.27,2.06,612.3,0.123,0,34.08
1,3,30,0.54,18.4,77.5,-70.52,1.41,7.24,612.9,0.157,0,32.38
1,4,30,0.54,18.4,77.5,-61.63,1.42,4.02,604.0,0.131,0,29.27
1,5,30,0.54,18.4,77.5,-55.62,4.39,5.16,610.0,0.138,0,27.17
1,6,30,0.54,18.4,77.5,-47.99,4.33,4.78,605.4,0.13,0,24.5
1,7,30,0.54,18.4,77.5,-38.35,5.78,3.15,613.3,0.153,0,21.12
1,8,30,0.54,18.4,77.5,-36.65,6.43,4.37,616.8,0.136,0,20.53
1,9,30,0.54,18.4,77.5,-32.11,7.75,2.46,611.5,0.169,0,18.94
1,10,30,0.54,18.4,77.5,-28.94,6.45,0.02,609.0,0.159,0,17.83
1,11,30,0.54,18.4,77.5,-26.74,7.23,0.29,610.9,0.182,0,17.06
1,12,30,0.54,18.4,77.5,-26.0,7.64,-0.87,609.1,0.155,0,16.8
1,13,30,0.54,18.4,77.5,-28.45,3.18,-0.85,606.7,0.154,0,17.66
1,14,30,0.54,18.4,77.5,-32.62,4.76,-4.64,609.2,0.147,0,19.12
1,15,30,0.54,18.4,77.5,-42.34,0.98,-4.49,609.2,0.163,0,22.52
1,16,30,0.54,18.4,77.5,-47.25,-0.33,-6.88,610.6,0.179,0,24.24
1,17,30,0.54,18.4,77.5,-55.07,-4.17,-5.33,606.7,0.134,0,26.98
1,18,30,0.54,18.4,77.5,-60.87,-5.5,-5.16,610.5,0.124,0,29.01
1,19,30,0.54,18.4,77.5,-67.5,-6.57,-5.03,614.4,0.161,0,31.32
1,20,30,0.54,18.4,77.5,-75.13,-8.71,-3.45,610.9,0.155,0,34.0
1,21,30,0.54,18.4,77.5,-78.91,-8.96,-2.79,616.0,0.201,0,35.32
1,22,30,0.54,18.4,77.5,-84.24,-6.48,-2.02,611.3,0.139,0,37.18
1,23,30,0.54,18.4,77.5,-83.98,-8.64,-0.53,609.9,0.108,0,37.09
2,0,30,1.08,18.4,77.5,-83.36,-8.07,3.42,605.5,0.149,0,36.88
2,1,30,1.08,18.4,77.5,-81.18,-1.34,1.33,616.3,0.129,0,36.11
2,2,30,1.08,18.4,77.5,-75.35,-4.19,3.29,615.9,0.158,0,34.07
2,3,30,1.08,18.4,77.5,-67.83,-1.15,2.96,609.6,0.16,0,31.44
2,4,30,1.08,18.4,77.5,-62.6,0.44,5.3,611.4,0.146,0,29.61
2,5,30,1.08,18.4,77.5,-53.48,3.18,5.0,611.8,0.154,0,26.42
2,6,30,1.08,18.4,77.5,-48.84,7.43,6.4,610.5,0.157,0,24.79
2,7,30,1.08,18.4,77.5,-40.42,7.81,4.59,607.4,0.136,0,21.85
2,8,30,1.08,18.4,77.5,-34.48,7.96,2.43,613.5,0.116,0,19.77
2,9,30,1.08,18.4,77.5,-31.46,7.59,2.4,610.9,0.156,0,18.71
2,10,30,1.08,18.4,77.5,-28.33,4.84,1.06,615.2,0.154,0,17.62
2,11,30,1.08,18.4,77.5,-26.74,5.26,0.33,609.6,0.157,0,17.06
2,12,30,1.08,18.4,77.5,-25.36,5.92,-1.36,613.3,0.12,0,16.58
2,13,30,1.08,18.4,77.5,-32.33,5.52,-0.77,614.7,0.144,0,19.02
2,14,30,1.08,18.4,77.5,-33.43,3.53,-2.71,616.0,0.16,0,19.4
2,15,30,1.08,18.4,77.5,-41.44,2.17,-5.51,608.7,0.152,0,22.21
2,16,30,1.08,18.4,77.5,-46.58,-0.2,-3.01,614.3,0.147,0,24.0
2,17,30,1.08,18.4,77.5,-53.9,-4.52,-5.52,610.6,0.119,0,26.57
2,18,30,1.08,18.4,77.5,-59.98,-6.13,-4.8,608.7,0.164,0,28.69
2,19,30,1.08,18.4,77.5,-70.82,-5.0,-3.72,611.7,0.138,0,32.49
2,20,30,1.08,18.4,77.5,-78.24,-6.92,-1.92,611.0,0.157,0,35.08
2,21,30,1.08,18.4,77.5,-82.34,-9.84,-1.02,612.5,0.139,0,36.52
2,22,30,1.08,18.4,77.5,-81.49,-6.95,-0.23,609.0,0.168,0,36.22
2,23,30,1.08,18.4,77.5,-82.65,-8.4,-0.15,611.6,0.156,0,36.63
