route_id,vehicle_type,route_type,start_x,start_y,end_x,end_y,num_cells,distance_km,avg_slope_deg,max_slope_deg,avg_rock_density,pct_high_hazard_cells,dominant_terrain,payload_kg,payload_fraction_of_max,battery_capacity_wh,total_energy_wh,energy_margin_pct,safety_score,mission_success
0,cargo_hauler,naive,0,1,31,6,55,1.279,9.8,18.58,0.689,0.327,regolith_plain,578.8,0.965,14000.0,4336.4,69.03,0.649,1
1,swarm_builder,naive,38,49,57,8,63,1.522,10.06,28.23,0.57,0.349,regolith_plain,10.9,0.727,1200.0,2535.1,-111.26,0.642,0
2,cargo_hauler,optimized,51,17,39,48,34,0.875,7.69,19.25,0.572,0.088,regolith_plain,328.5,0.548,14000.0,2096.6,85.02,0.809,1
3,crew_transport,optimized,24,26,55,55,45,1.195,11.79,30.56,0.664,0.333,regolith_plain,216.5,0.866,9500.0,3271.2,65.57,0.656,1
4,cargo_hauler,naive,7,47,2,32,23,0.556,11.5,22.16,0.455,0.174,regolith_plain,146.4,0.244,14000.0,1188.7,91.51,0.748,1
5,swarm_builder,optimized,16,28,56,34,43,1.055,6.34,24.43,0.505,0.047,regolith_plain,13.5,0.9,1200.0,1530.3,-27.52,0.855,0
6,cargo_hauler,naive,50,52,34,46,34,0.751,11.43,25.77,0.68,0.412,regolith_plain,172.8,0.288,14000.0,2008.6,85.65,0.59,1
7,swarm_builder,naive,55,22,22,9,47,1.135,13.31,31.79,0.572,0.404,regolith_plain,14.7,0.98,1200.0,2251.5,-87.62,0.582,0
8,crew_transport,naive,15,21,35,5,61,1.415,8.89,18.83,0.668,0.148,regolith_plain,99.7,0.399,9500.0,2854.5,69.95,0.779,1
9,swarm_builder,optimized,20,52,11,20,33,0.781,9.99,17.81,0.478,0.0,regolith_plain,3.6,0.24,1200.0,951.6,20.7,0.855,1
10,swarm_builder,naive,45,8,56,49,69,1.658,10.76,26.25,0.452,0.232,regolith_plain,9.8,0.653,1200.0,2450.3,-104.19,0.73,0
11,swarm_builder,optimized,59,40,25,41,37,0.911,6.92,18.98,0.674,0.324,regolith_plain,10.2,0.68,1200.0,1554.2,-29.52,0.673,0
12,light_scout,optimized,4,59,55,55,181,3.981,20.25,27.02,0.662,0.359,regolith_plain,4.4,0.11,3500.0,6282.7,-79.51,0.614,0
13,swarm_builder,optimized,56,24,0,9,61,1.473,8.81,20.24,0.621,0.082,regolith_plain,3.6,0.24,1200.0,1902.5,-58.54,0.816,0
