cell_id,grid_x,grid_y,elevation_m,slope_deg,terrain_type,rock_density,dust_depth_cm,solar_exposure_pct,surface_temp_c,hazard_prob,safety_score,traversal_energy_wh_per_m
0,0,0,10.65,11.04,rock_field,0.835,3.17,59.7,-30.6,0.255,0.745,2.535
1,1,0,9.52,22.54,rock_field,0.86,2.23,39.0,-31.9,0.316,0.684,3.206
2,2,0,2.05,10.19,rock_field,0.82,4.87,63.3,-38.9,0.239,0.761,2.637
3,3,0,2.37,13.55,rock_field,0.796,5.15,60.7,-28.4,0.273,0.727,2.585
4,4,0,-3.07,15.36,rock_field,0.766,5.58,41.4,-40.8,0.275,0.725,2.776
5,5,0,-6.83,12.77,rock_field,0.771,5.42,48.1,-35.5,0.248,0.752,2.493
6,6,0,-11.93,14.78,rock_field,0.811,4.57,54.5,-43.0,0.268,0.732,2.701
7,7,0,-17.38,14.27,rock_field,0.898,4.1,52.4,-31.2,0.263,0.737,2.767
8,8,0,-22.09,5.92,rock_field,0.912,4.92,63.4,-30.2,0.229,0.771,2.511
9,9,0,-21.28,10.3,rock_field,0.821,3.88,53.6,-36.8,0.235,0.765,2.481
10,10,0,-16.7,8.63,regolith_plain,0.737,3.22,65.8,-29.7,0.092,0.908,1.548
11,11,0,-15.21,5.96,regolith_plain,0.682,2.71,68.1,-34.5,0.066,0.934,1.331
12,12,0,-17.62,5.94,regolith_plain,0.659,1.62,63.9,-35.1,0.057,0.943,1.266
13,13,0,-15.23,7.07,regolith_plain,0.686,0.0,69.0,-32.7,0.064,0.936,1.332
14,14,0,-12.66,8.6,regolith_plain,0.676,0.0,63.3,-40.2,0.076,0.924,1.433
15,15,0,-10.25,14.11,regolith_plain,0.658,0.0,49.3,-34.3,0.111,0.889,1.568
16,16,0,-14.91,11.72,regolith_plain,0.643,0.0,59.3,-29.5,0.096,0.904,1.49
17,17,0,-17.9,7.79,regolith_plain,0.639,0.0,55.7,-38.3,0.055,0.945,1.255
18,18,0,-14.54,6.96,regolith_plain,0.637,0.0,67.6,-29.9,0.068,0.932,1.298
19,19,0,-14.46,13.9,regolith_plain,0.654,0.0,54.4,-37.0,0.1,0.9,1.497
20,20,0,-16.46,20.9,regolith_plain,0.692,0.0,45.9,-37.6,0.144,0.856,1.842
21,21,0,-12.25,9.1,regolith_plain,0.662,0.0,55.9,-37.9,0.063,0.937,1.32
22,22,0,-18.56,17.82,regolith_plain,0.622,0.0,57.7,-38.3,0.096,0.904,1.628
23,23,0,-21.52,13.01,regolith_plain,0.559,0.0,54.8,-31.6,0.093,0.907,1.459
24,24,0,-12.8,16.43,regolith_plain,0.593,0.0,49.4,-38.0,0.113,0.887,1.661
25,25,0,-9.99,6.08,regolith_plain,0.613,2.01,61.2,-25.7,0.051,0.949,1.27
26,26,0,-9.11,4.67,regolith_plain,0.628,2.98,68.1,-31.3,0.049,0.951,1.281
27,27,0,-8.96,6.87,regolith_plain,0.644,2.98,64.6,-36.4,0.067,0.933,1.355
28,28,0,-5.53,13.3,regolith_plain,0.633,2.92,57.8,-30.1,0.102,0.898,1.469
29,29,0,0.37,18.17,regolith_plain,0.63,3.75,52.6,-34.4,0.13,0.87,1.669
30,30,0,-3.5,4.65,regolith_plain,0.632,7.33,77.7,-25.6,0.061,0.939,1.272
31,31,0,0.66,14.59,regolith_plain,0.638,7.4,51.5,-32.9,0.144,0.856,1.728
32,32,0,2.45,14.29,regolith_plain,0.598,7.41,51.2,-40.4,0.121,0.879,1.652
33,33,0,10.82,20.39,regolith_plain,0.609,5.06,42.7,-41.1,0.158,0.842,1.747
34,34,0,10.48,7.75,regolith_plain,0.573,5.63,65.2,-33.4,0.085,0.915,1.351
35,35,0,10.06,9.19,regolith_plain,0.584,4.36,66.7,-37.3,0.087,0.913,1.338
36,36,0,8.71,5.06,regolith_plain,0.597,4.47,63.8,-34.2,0.065,0.935,1.236
37,37,0,8.79,5.34,regolith_plain,0.572,4.28,59.1,-29.4,0.064,0.936,1.286
38,38,0,10.48,8.32,regolith_plain,0.543,3.68,55.9,-34.9,0.069,0.931,1.326
39,39,0,14.16,51.7,rock_field,0.696,0.0,17.0,-54.4,0.459,0.541,4.742
40,40,0,11.07,36.96,rock_field,0.705,0.0,33.8,-49.4,0.386,0.614,3.917
41,41,0,6.11,6.56,regolith_plain,0.64,3.47,66.0,-25.6,0.064,0.936,1.259
42,42,0,6.83,24.28,regolith_plain,0.689,0.65,39.3,-41.7,0.169,0.831,2.082
43,43,0,9.6,10.41,regolith_plain,0.621,2.6,59.9,-36.9,0.091,0.909,1.383
44,44,0,13.58,8.49,regolith_plain,0.566,2.63,61.4,-34.9,0.087,0.913,1.344
45,45,0,14.68,6.84,regolith_plain,0.587,2.58,63.8,-38.8,0.072,0.928,1.227
46,46,0,18.08,12.64,crater_rim,0.602,1.4,61.3,-28.0,0.173,0.827,1.81
47,47,0,20.76,13.92,crater_rim,0.551,0.9,56.0,-37.1,0.191,0.809,1.809
48,48,0,27.34,10.49,regolith_plain,0.586,1.65,62.5,-27.8,0.082,0.918,1.377
49,49,0,28.16,12.34,crater_rim,0.678,1.74,56.8,-35.1,0.188,0.812,1.901
50,50,0,33.98,14.82,crater_rim,0.751,1.73,55.4,-30.1,0.215,0.785,2.114
51,51,0,29.75,11.04,rock_field,0.793,3.04,61.6,-32.7,0.236,0.764,2.559
52,52,0,26.22,7.39,rock_field,0.776,5.31,53.1,-33.5,0.226,0.774,2.389
53,53,0,25.03,5.75,rock_field,0.752,7.36,61.8,-31.2,0.218,0.782,2.142
54,54,0,22.24,8.4,regolith_plain,0.744,8.77,57.9,-33.1,0.095,0.905,1.481
55,55,0,19.15,13.72,crater_rim,0.745,9.78,51.1,-36.7,0.24,0.76,2.316
56,56,0,12.47,18.03,rock_field,0.823,8.46,48.5,-39.8,0.306,0.694,2.948
57,57,0,7.18,25.37,rock_field,0.917,6.52,51.1,-30.1,0.373,0.627,3.699
58,58,0,11.56,43.69,rock_field,1.0,2.93,16.7,-53.1,0.464,0.536,4.865
59,59,0,-6.48,57.1,rock_field,1.0,0.07,13.0,-50.4,0.531,0.469,5.47
60,0,1,6.92,17.45,rock_field,0.84,2.43,40.7,-40.9,0.281,0.719,2.984
61,1,1,2.42,15.35,rock_field,0.818,3.19,51.1,-35.8,0.268,0.732,2.764
62,2,1,2.45,10.59,rock_field,0.789,4.35,59.3,-36.4,0.232,0.768,2.55
63,3,1,-1.71,18.58,rock_field,0.781,3.6,53.1,-35.5,0.296,0.704,3.032
64,4,1,-6.08,15.98,rock_field,0.75,4.38,56.7,-36.3,0.285,0.715,2.772
65,5,1,-7.81,10.59,rock_field,0.772,4.83,63.1,-39.7,0.239,0.761,2.489
66,6,1,-11.82,13.63,rock_field,0.811,4.01,52.9,-36.8,0.275,0.725,2.74
67,7,1,-17.49,14.71,rock_field,0.834,3.48,51.0,-41.9,0.295,0.705,2.773
68,8,1,-21.38,10.04,rock_field,0.831,3.97,64.1,-39.9,0.264,0.736,2.553
69,9,1,-18.84,9.93,rock_field,0.77,4.16,57.9,-34.6,0.25,0.75,2.307
70,10,1,-16.55,2.68,regolith_plain,0.692,4.96,59.4,-32.8,0.047,0.953,1.247
71,11,1,-17.25,6.52,regolith_plain,0.653,4.09,56.0,-33.7,0.062,0.938,1.294
72,12,1,-19.7,3.23,regolith_plain,0.621,4.01,60.9,-31.8,0.055,0.945,1.171
73,13,1,-15.27,14.49,regolith_plain,0.673,0.57,57.0,-42.8,0.108,0.892,1.633
74,14,1,-10.94,0.94,regolith_plain,0.62,0.85,69.8,-36.1,0.003,0.997,1.055
75,15,1,-15.15,12.13,regolith_plain,0.611,0.0,60.8,-25.8,0.081,0.919,1.378
76,16,1,-16.51,9.27,regolith_plain,0.601,0.0,57.2,-39.2,0.072,0.928,1.266
77,17,1,-20.63,7.26,regolith_plain,0.607,0.0,63.0,-30.5,0.053,0.947,1.319
78,18,1,-12.81,15.77,regolith_plain,0.651,0.0,56.4,-38.0,0.111,0.889,1.662
79,19,1,-9.61,16.37,regolith_plain,0.675,0.0,50.1,-37.1,0.107,0.893,1.617
80,20,1,-8.9,10.04,regolith_plain,0.667,0.0,61.7,-35.9,0.075,0.925,1.396
81,21,1,-9.22,7.85,regolith_plain,0.662,0.0,57.4,-32.7,0.071,0.929,1.394
82,22,1,-14.11,14.31,regolith_plain,0.66,0.0,52.1,-36.2,0.099,0.901,1.532
83,23,1,-17.91,8.86,regolith_plain,0.627,0.0,58.0,-36.5,0.079,0.921,1.275
