day,sol,crew_size,activity_level,dust_storm_flag,solar_availability,o2_consumption_kg,co2_production_kg,water_use_kg,food_kg,waste_kg,o2_recovery_efficiency,water_recovery_efficiency,net_o2_makeup_kg,net_water_makeup_kg,greenhouse_ventilation_m3_per_h,cabin_co2_ppm_proxy
0,0,100,1.15,0,0.906,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,926
1,1,100,1.15,0,0.917,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,881
2,2,100,1.15,0,0.986,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,888
3,3,100,1.15,0,0.872,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,930
4,4,100,1.15,0,0.835,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,862
5,5,100,0.9,0,0.936,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,776
6,6,100,0.9,0,0.93,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,827
7,7,100,1.15,0,0.927,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,937
8,8,100,1.15,0,0.846,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,936
9,9,100,1.15,0,0.95,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
10,10,100,1.15,0,0.956,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,886
11,11,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
12,12,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,801
13,13,100,0.9,0,0.885,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,806
14,14,100,1.15,0,0.868,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,870
15,15,100,1.15,0,0.983,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,896
16,16,100,1.15,0,0.914,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
17,17,100,1.15,0,0.955,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,875
18,18,100,1.15,0,0.917,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,863
19,19,100,0.9,0,0.919,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,792
20,20,100,0.9,0,0.919,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,831
21,21,100,1.15,0,0.871,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,918
22,22,100,1.15,0,0.944,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,929
23,23,100,1.15,0,0.976,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,926
24,24,100,1.15,0,0.868,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
25,25,100,1.15,0,0.899,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
26,26,100,0.9,0,0.919,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,767
27,27,100,0.9,0,0.897,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,762
28,28,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
29,29,100,1.15,0,0.853,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,867
30,30,100,1.15,0,0.909,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,884
31,31,100,1.15,0,0.99,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,920
32,32,100,1.15,0,0.864,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
33,33,100,0.9,0,0.884,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,788
34,34,100,0.9,0,0.823,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,770
35,35,100,1.15,0,0.934,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
36,36,100,1.15,0,0.883,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,890
37,37,100,1.15,0,0.84,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,881
38,38,100,1.15,0,0.863,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,879
39,39,100,1.15,0,0.846,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,864
40,40,100,0.9,0,0.905,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,804
41,41,100,0.9,0,0.9,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,791
42,42,100,1.15,0,0.851,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
43,43,100,1.15,0,0.859,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
44,44,100,1.15,0,0.911,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,866
